table_id,sentence_id,sub_sentence_id,text,coordinates,input_text,aggregation,output_text
0_totto74-1,0,1,"rushes in 2016 (4, 4)","[[0, 4], [4, 0], [4, 4]]",rushing 2016.0 51.0,none,"in 2016 season, charles sims finished with 51 rushes for 149 yards"
0_totto109-3,0,1,"matches won rot-weiß erfurt 2003-04-11 00:00:00 2003-06-30 00:00:00 (2, 4)","[[1, 3], [1, 4], [2, 0], [2, 1], [2, 2], [2, 4]]",g w rot-weiß erfurt 11 april 2003 30 june 2003 1.0,none,schwartz was the manager of rot-weiß erfurt between 11 april 2003 and 30 june 2003 where he won one out of 10 matches
0_totto115-4,0,1,"yards rushing in total (13, 3)","[[1, 3], [0, 1], [13, 0], [13, 3]]",yds rushing totals 8189.0,none,"in total, craig finished his eleven nfl seasons with 8,189 rushing yards and 566 receptions for 4,911 receiving yards"
1000,5757,1,family sponsorship program men women [ANSWER],"[[0, 4], [14, 0], [3, 0], [14, 0]]",family-sponsored immigrants men women men,pair-argmax,a higher proportion of men than women were admitted under the family sponsorship program
1001,5762,1,admitted as a principal applicant under the economic program male immigrants [ANSWER],"[[1, 1], [22, 0], [33, 0], [36, 0], [37, 0]]",principal applicants men cameroon cote d'ivoire senegal,greater_than,"for immigrants from some african countries of origin, like cameroon, cote d'ivoire and senegal, more than half of the male immigrants were admitted as a principal applicant under the economic program"
1002,5763,1,the rest of the canadian population [ANSWER],"[[3, 0], [2, 0]]",rest of the population black population,pair-argmax,"the black immigrant populations stand out for their prevalence of lone mothers, compared with the rest of the canadian population"
1002,5764,1,"in 2016 black immigrant women aged 25 to 59 (6, 4)","[[0, 4], [5, 0], [6, 4]]",2016.0 black population 29.2,none,"among black immigrant women aged 25 to 59 in 2016, about three in ten were lone parents"
1002,5765,1,"in 2016 black immigrant women aged 25 to 59 other immigrant women (10, 4)","[[0, 4], [5, 0], [10, 0], [10, 4]]",2016.0 black population rest of the population 9.8,none,"among black immigrant women aged 25 to 59 in 2016, one in ten for other immigrant women were lone parents"
1002,5766,1,in 2016 black immigrant women aged 25 to 59 [ANSWER] proportion,"[[0, 4], [5, 0], [7, 0], [1, 1]]",2016.0 black population caribbean and latin america percent,argmax,the highest proportion of lone mothers was found in women from caribbean and latin-american countries among black immigrant women aged 25 to 59 in 2016
1003,5773,1,black male immigrants with a postsecondary diploma or a university diploma from africa [ANSWER] proportions,"[[0, 3], [1, 3], [4, 0], [3, 0], [2, 1]]",men non-university or university postsecondary diploma africa caribbean and latin america percent,pair-argmin,the proportions of black male immigrants from the caribbean and latin america with a postsecondary diploma or a university diploma were lower than those of black male immigrants from africa
